,PartNumber,Info
0,1,"2,1;1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961/1.09313,0.171146,-1.15961;1,11,1,0;40.737890174766;0,0,0;0,0,0;3,1,3;
"
87,83,"0,83;1.35648,0.244802,-2.38226/1.35648,0.244802,-2.38226/1.35648,0.244802,-2.38226;1,3,1,0;40.746275764939;1,0,1;1,0,0;1,1,2;
"
88,84,"2,84;0.117703,-2.95256,-2.25559/0.11836,-2.952,-2.25516/0.117045,-2.95311,-2.25603;1,3,1,0;40.970669402838;1,0,2;1,1,0;1,1,2/3,7,2;
"
89,85,"2,85;0.400081,1.88486,-1.54068/0.400733,1.88532,-1.53992/0.399429,1.88441,-1.54144;1,7,1,0;40.41257861423;0,3,0;2,1,0;1,1,1/1,3,1/1,8,0/2,3,0/2,4,0/2,6,0/2,7,0/2,10,0/3,7,0/3,8,1/3,9,0/4,8,0;
"
90,85,"0,85;0.409654,1.88869,-1.5294/0.409654,1.88869,-1.5294/0.409654,1.88869,-1.5294;1,7,1,0;40.412570309711;1,0,1;1,0,0;4,1,2;
"
91,85,"0,85;0.400951,1.88486,-1.54085/0.402241,1.88532,-1.54026/0.399661,1.88441,-1.54144;1,7,1,0;40.412578624457;0,1,0;1,0,0;1,1,1/1,6,0/2,1,0/2,2,0/2,4,0/2,5,0/2,8,0/3,5,0/3,6,1/3,7,0/3,9,0/4,6,0/4,10,1;
"
92,87,"2,87;-0.0194303,3.24127,2.08899/-0.0194303,3.24127,2.08899/-0.0194303,3.24127,2.08899;1,29,1,0;40.635433212152;1,0,1;1,0,0;1,1,2;
"
93,88,"2,88;2.85431,0.947721,1.86724/2.85431,0.947721,1.86724/2.85431,0.947721,1.86724;1,28,1,0;40.649245307343;1,0,1;0,1,0;3,1,2;
"
94,91,"2,91;1.92103,-1.06792,2.70239/1.92103,-1.06792,2.70239/1.92103,-1.06792,2.70239;1,34,1,0;40.594645694728;1,0,1;1,0,0;1,1,2;
"
95,92,"2,92;1.56698,2.94632,0.683522/1.56698,2.94632,0.683522/1.56698,2.94632,0.683522;1,20,1,0;40.653611142446;1,0,1;0,1,0;2,1,2;
"
96,94,"2,94;1.13381,0.212777,-1.36483/1.13381,0.212777,-1.36483/1.13381,0.212777,-1.36483;1,11,1,0;40.401690280505;1,0,1;1,0,0;4,1,2;
"
97,94,"0,94;-1.098,0.743473,0.239325/-1.098,0.743473,0.239325/-1.098,0.743473,0.239325;1,16,1,0;40.607522421885;0,1,0;0,1,0;2,1,1;
"
98,94,"0,94;-1.10007,0.744827,0.231973/-1.10007,0.744827,0.231973/-1.10007,0.744827,0.231973;1,16,1,0;40.607522194184;1,0,1;1,0,0;1,1,2;
"
99,95,"2,95;-1.17555,-1.81059,-0.771956/-1.17555,-1.81059,-0.771956/-1.17555,-1.81059,-0.771956;1,9,1,0;40.461807666022;1,0,1;0,1,0;2,1,2;
"
100,95,"0,95;-1.17555,-1.80439,-0.780296/-1.17555,-1.80439,-0.780296/-1.17555,-1.80439,-0.780296;1,9,1,0;40.461797274092;1,0,1;1,0,0;1,1,2;
"
101,95,"0,95;-1.17328,-1.81205,-0.771227/-1.17328,-1.81205,-0.771227/-1.17328,-1.81205,-0.771227;1,9,1,0;40.461807579513;1,0,1;1,0,0;2,7,0/3,4,0/3,6,0/4,1,2/4,6,0;
"
102,99,"2,99;-0.181377,-2.81996,2.68617/-0.180651,-2.81953,2.68623/-0.182102,-2.82039,2.68612;1,33,1,0;40.872548475936;0,3,0;0,3,1;2,5,1/2,7,0/2,9,0/3,1,1/3,2,3/3,3,0/3,10,0;
"
103,99,"0,99;-0.177372,-2.81931,2.68831/-0.177372,-2.81931,2.68831/-0.177372,-2.81931,2.68831;1,33,1,0;40.872546841986;0,1,0;1,0,0;1,4,0/2,7,0/3,3,0/3,8,0/3,9,0/4,1,1/4,3,0;
"
104,99,"0,99;-0.1815,-2.81932,2.6974/-0.1815,-2.81932,2.6974/-0.1815,-2.81932,2.6974;1,33,1,0;40.872571014471;1,0,1;1,0,0;1,1,2;
"
105,100,"2,100;-0.568758,3.7551,-0.832188/-0.568758,3.7551,-0.832188/-0.568758,3.7551,-0.832188;1,13,1,0;40.191456016732;1,0,1;1,0,0;1,1,2;
"
106,100,"0,100;3.03576,1.95992,0.817619/3.03576,1.95992,0.817619/3.03576,1.95992,0.817619;1,20,1,0;40.729260903961;0,1,0;1,0,0;1,1,1;
"
107,102,"2,102;-1.15663,-2.38896,-3.57557/-1.15663,-2.38896,-3.57557/-1.15663,-2.38896,-3.57557;1,1,1,0;40.944042651149;0,1,0;1,0,0;1,1,1/2,7,0/2,8,0;
"
108,103,"2,103;0.934704,-0.841671,0.796668/0.935253,-0.841461,0.797587/0.934155,-0.841881,0.795749;1,19,1,0;40.758044706311;2,3,1;1,3,0;1,9,0/3,1,2/3,3,1/3,5,0/3,6,1/4,3,1;
"
109,103,"0,103;0.934617,-0.84686,0.803609/0.935118,-0.846724,0.803609/0.934115,-0.846996,0.803609;1,19,1,0;40.758031068225;2,1,1;1,1,0;1,1,1/2,1,0/2,5,2/3,5,0/3,8,0;
"
110,103,"0,103;0.937575,-0.847078,0.805963/0.937575,-0.847078,0.805963/0.937575,-0.847078,0.805963;1,19,1,0;40.758030164322;1,0,1;0,1,0;3,1,2;
"
111,103,"0,103;0.935031,-0.844119,0.791643/0.935031,-0.844119,0.791643/0.935031,-0.844119,0.791643;1,19,1,0;40.758032355383;1,0,1;0,1,0;2,1,2;
"
112,103,"0,103;0.9345,-0.841423,0.795663/0.934845,-0.840965,0.795749/0.934155,-0.841881,0.795578;1,19,1,0;40.758044742467;0,1,0;0,1,0;1,4,0/2,10,0/3,1,1/3,8,1/3,10,0;
"
113,103,"0,103;0.932789,-0.842024,0.798035/0.932789,-0.842024,0.798035/0.932789,-0.842024,0.798035;1,19,1,0;40.758044626768;1,0,1;1,0,0;1,1,2;
"
114,104,"2,104;-1.36888,-1.68618,2.61749/-1.36888,-1.68618,2.61749/-1.36888,-1.68618,2.61749;1,34,1,0;40.359954436487;0,1,0;0,1,0;3,1,1;
"
115,106,"2,106;2.69567,-1.88295,-1.09493/2.69567,-1.88295,-1.09493/2.69567,-1.88295,-1.09493;1,8,1,0;40.772109301572;0,1,0;0,1,0;3,1,1;
"
116,108,"2,108;2.30824,-0.975817,2.26556/2.30893,-0.975722,2.26615/2.30755,-0.975912,2.26497;1,33,1,0;40.331033404928;0,3,0;2,1,0;1,1,1/1,3,1/2,3,1/2,7,0/3,6,0/3,9,0;
"
117,108,"0,108;2.30248,-0.968861,2.25687/2.30248,-0.968861,2.25687/2.30248,-0.968861,2.25687;1,33,1,0;40.33103044885;0,1,0;0,1,0;2,1,1/2,3,0/2,6,0;
"
118,108,"0,108;2.30246,-0.974238,2.25767/2.30246,-0.974238,2.25767/2.30246,-0.974238,2.25767;1,33,1,0;40.331030186919;1,0,1;1,0,0;1,5,0/2,2,0/2,3,0/2,5,0/3,1,0/4,1,2;
"
119,108,"0,108;2.31065,-0.974827,2.25975/2.31065,-0.974827,2.25975/2.31065,-0.974827,2.25975;1,33,1,0;40.331031234643;1,0,1;1,0,0;3,5,0/4,1,2;
"
120,109,"2,109;2.17465,1.10254,-0.262124/2.17465,1.10254,-0.262124/2.17465,1.10254,-0.262124;1,13,1,0;40.882699260042;0,1,0;0,1,0;3,1,1;
"
121,113,"2,113;1.52889,2.89787,-1.34609/1.52889,2.89787,-1.34609/1.52889,2.89787,-1.34609;1,7,1,0;40.331375860239;1,0,1;1,0,0;4,1,2;
"
122,113,"0,113;1.62241,1.11463,0.0107336/1.62241,1.11463,0.0107336/1.62241,1.11463,0.0107336;1,19,1,0;40.125951144413;0,1,0;1,0,0;4,1,1;
"
123,113,"0,113;1.71796,-0.572084,1.30585/1.71796,-0.572084,1.30585/1.71796,-0.572084,1.30585;1,26,1,0;40.997422107925;1,0,1;1,0,0;4,1,2;
"
124,113,"0,113;1.73435,-0.992791,1.6321/1.73435,-0.992791,1.6321/1.73435,-0.992791,1.6321;1,27,1,0;40.865431556828;1,0,1;0,1,0;3,1,2;
"
125,116,"2,116;-1.04513,2.96245,2.20696/-1.04513,2.96245,2.20696/-1.04513,2.96245,2.20696;1,31,1,0;40.275703853763;1,0,1;1,0,0;1,1,2;
"
126,116,"0,116;-0.290101,1.58004,2.55062/-0.290101,1.58004,2.55062/-0.290101,1.58004,2.55062;1,38,1,0;40.747760276028;0,1,0;0,1,0;2,1,1;
"
127,116,"0,116;1.16782,-0.992736,3.21883/1.16782,-0.992736,3.21883/1.16782,-0.992736,3.21883;1,41,1,0;40.119489491933;1,0,1;1,0,0;1,1,2;
"
128,120,"2,120;-1.40884,-1.40388,-1.2937/-1.40884,-1.40388,-1.2937/-1.40884,-1.40388,-1.2937;1,6,1,0;40.891590784561;1,0,1;0,1,0;2,1,2;
"
129,120,"0,120;-1.40543,-1.40745,-1.28362/-1.40543,-1.40745,-1.28362/-1.40543,-1.40745,-1.28362;1,6,1,0;40.891591240354;0,1,0;0,1,0;2,1,1/3,3,0;
"
130,122,"2,122;-2.39538,-0.181859,-1.59284/-2.39538,-0.181859,-1.59284/-2.39538,-0.181859,-1.59284;1,6,1,0;40.78920879807;1,0,1;0,1,0;2,1,2;
"
131,123,"2,123;2.25997,2.40251,1.0508/2.25997,2.40251,1.0508/2.25997,2.40251,1.0508;1,26,1,0;40.362083785521;1,0,1;1,0,0;1,1,2;
"
132,124,"2,124;-1.84914,1.64054,-2.92371/-1.84898,1.64067,-2.92346/-1.84929,1.6404,-2.92396;1,2,1,0;40.69819310095;0,2,0;1,1,0;1,1,1/2,1,0/3,4,1;
"
133,124,"0,124;-2.09504,0.51786,-3.25968/-2.09504,0.51786,-3.25968/-2.09504,0.51786,-3.25968;1,2,1,0;40.356400895962;0,1,0;1,0,0;1,1,1;
"
134,128,"2,128;-1.18005,2.48704,-0.592481/-1.17999,2.48712,-0.592448/-1.1801,2.48696,-0.592514;1,17,1,0;40.0952936749719;2,1,1;1,1,0;1,1,1/2,1,0/3,1,2;
"
135,128,"0,128;-1.18245,2.50112,-0.602389/-1.18245,2.50112,-0.602389/-1.18245,2.50112,-0.602389;1,17,1,0;40.0953009981894;1,0,1;1,0,0;1,1,2;
